date,day,display_name,estimated_cost_cents_max,estimated_cost_cents_min,estimated_distance_miles,estimated_duration_seconds,ride_type,time
25-Feb-18,Sunday,Lyft Premier,2081,2081,3.1,745,lyft_premier,0:00:04
25-Feb-18,Sunday,Lyft Line,352,352,3.1,745,lyft_line,0:00:04
25-Feb-18,Sunday,Lyft Lux,2709,2709,3.1,745,lyft_lux,0:00:04
25-Feb-18,Sunday,Lyft,1034,1034,3.1,745,lyft,0:00:04
25-Feb-18,Sunday,Lyft Plus,1791,1791,3.1,745,lyft_plus,0:00:04
25-Feb-18,Sunday,Lyft Lux SUV,3605,3605,3.1,745,lyft_luxsuv,0:00:04
25-Feb-18,Sunday,Lyft Premier,1585,1585,1.82,589,lyft_premier,0:01:03
25-Feb-18,Sunday,Lyft Line,308,308,1.82,589,lyft_line,0:01:03
25-Feb-18,Sunday,Lyft Lux,2061,2061,1.82,589,lyft_lux,0:01:03
25-Feb-18,Sunday,Lyft,810,810,1.82,589,lyft,0:01:03
25-Feb-18,Sunday,Lyft Plus,1368,1368,1.82,589,lyft_plus,0:01:03
25-Feb-18,Sunday,Lyft Lux SUV,2898,2898,1.82,589,lyft_luxsuv,0:01:03
25-Feb-18,Sunday,Lyft Premier,1407,1407,1.61,422,lyft_premier,0:02:03
25-Feb-18,Sunday,Lyft Line,428,428,1.61,422,lyft_line,0:02:03
25-Feb-18,Sunday,Lyft Lux,1845,1845,1.61,422,lyft_lux,0:02:03
25-Feb-18,Sunday,Lyft,725,725,1.61,422,lyft,0:02:03
25-Feb-18,Sunday,Lyft Plus,1214,1214,1.61,422,lyft_plus,0:02:03
25-Feb-18,Sunday,Lyft Lux SUV,2661,2661,1.61,422,lyft_luxsuv,0:02:03
25-Feb-18,Sunday,Lyft Premier,1908,1908,2.65,690,lyft_premier,0:03:04
25-Feb-18,Sunday,Lyft Line,335,335,2.65,690,lyft_line,0:03:04
25-Feb-18,Sunday,Lyft Lux,2483,2483,2.65,690,lyft_lux,0:03:04
25-Feb-18,Sunday,Lyft,956,956,2.65,690,lyft,0:03:04
25-Feb-18,Sunday,Lyft Plus,1644,1644,2.65,690,lyft_plus,0:03:04
25-Feb-18,Sunday,Lyft Lux SUV,3359,3359,2.65,690,lyft_luxsuv,0:03:04
25-Feb-18,Sunday,Lyft Premier,1967,1967,2.66,767,lyft_premier,0:04:03
25-Feb-18,Sunday,Lyft Line,589,589,2.66,767,lyft_line,0:04:03
25-Feb-18,Sunday,Lyft Lux,2548,2548,2.66,767,lyft_lux,0:04:03
25-Feb-18,Sunday,Lyft,863,863,2.66,767,lyft,0:04:03
25-Feb-18,Sunday,Lyft Plus,1695,1695,2.66,767,lyft_plus,0:04:03
25-Feb-18,Sunday,Lyft Lux SUV,3431,3431,2.66,767,lyft_luxsuv,0:04:03
25-Feb-18,Sunday,Lyft Premier,1909,1909,2.77,638,lyft_premier,0:05:03
25-Feb-18,Sunday,Lyft Line,315,315,2.77,638,lyft_line,0:05:03
25-Feb-18,Sunday,Lyft Lux,2492,2492,2.77,638,lyft_lux,0:05:03
25-Feb-18,Sunday,Lyft,954,954,2.77,638,lyft,0:05:03
25-Feb-18,Sunday,Lyft Plus,1643,1643,2.77,638,lyft_plus,0:05:03
25-Feb-18,Sunday,Lyft Lux SUV,3367,3367,2.77,638,lyft_luxsuv,0:05:03
25-Feb-18,Sunday,Lyft Premier,2401,2401,3.82,886,lyft_premier,0:06:04
25-Feb-18,Sunday,Lyft Line,721,721,3.82,886,lyft_line,0:06:04
25-Feb-18,Sunday,Lyft Lux,3118,3118,3.82,886,lyft_lux,0:06:04
