,lyft_display_name,lyft_max_estimate,lyft_min_estimate,lyft_distance,lyft_duration,lyft_category
1,Lyft Line,352,352,3.1,745,Carpool Service
7,Lyft Line,308,308,1.82,589,Carpool Service
13,Lyft Line,428,428,1.61,422,Carpool Service
19,Lyft Line,335,335,2.65,690,Carpool Service
25,Lyft Line,589,589,2.66,767,Carpool Service
31,Lyft Line,315,315,2.77,638,Carpool Service
37,Lyft Line,721,721,3.82,886,Carpool Service
43,Lyft Line,348,348,1.99,367,Carpool Service
49,Lyft Line,314,314,2.28,526,Carpool Service
55,Lyft Line,317,317,2.46,620,Carpool Service
61,Lyft Line,306,306,2.44,613,Carpool Service
67,Lyft Line,299,299,1.83,566,Carpool Service
73,Lyft Line,346,346,2.9,865,Carpool Service
79,Lyft Line,317,317,2.73,673,Carpool Service
85,Lyft Line,323,323,2.46,745,Carpool Service
91,Lyft Line,307,307,2.47,608,Carpool Service
97,Lyft Line,316,316,2.17,582,Carpool Service
103,Lyft Line,548,548,3.18,829,Carpool Service
109,Lyft Line,306,306,1.93,595,Carpool Service
115,Lyft Line,561,561,3.16,851,Carpool Service
121,Lyft Line,317,317,2.77,750,Carpool Service
127,Lyft Line,303,303,1.85,653,Carpool Service
133,Lyft Line,578,578,3.45,829,Carpool Service
139,Lyft Line,612,612,1.89,598,Carpool Service
145,Lyft Line,301,301,1.87,563,Carpool Service
151,Lyft Line,306,306,2.1,600,Carpool Service
157,Lyft Line,357,357,1.62,472,Carpool Service
163,Lyft Line,313,313,2.71,647,Carpool Service
169,Lyft Line,300,300,1.87,453,Carpool Service
175,Lyft Line,810,810,3.55,698,Carpool Service
181,Lyft Line,917,917,3.31,895,Carpool Service
187,Lyft Line,583,583,2.11,550,Carpool Service
193,Lyft Line,347,347,3.33,667,Carpool Service
199,Lyft Line,781,781,4.19,856,Carpool Service
205,Lyft Line,319,319,1.92,516,Carpool Service
211,Lyft Line,617,617,2.52,618,Carpool Service
217,Lyft Line,739,739,2.89,684,Carpool Service
223,Lyft Line,1050,1050,3.41,734,Carpool Service
229,Lyft Line,719,719,2.2,436,Carpool Service
235,Lyft Line,646,646,3.37,872,Carpool Service
241,Lyft Line,390,390,2.15,647,Carpool Service
247,Lyft Line,911,911,3.01,677,Carpool Service
253,Lyft Line,355,355,2.37,539,Carpool Service
259,Lyft Line,315,315,1.42,392,Carpool Service
265,Lyft Line,797,797,2.31,566,Carpool Service
271,Lyft Line,550,550,1.65,547,Carpool Service
277,Lyft Line,320,320,2.6,517,Carpool Service
283,Lyft Line,818,818,2.28,723,Carpool Service
289,Lyft Line,719,719,2.2,436,Carpool Service
295,Lyft Line,1040,1040,3.67,799,Carpool Service
301,Lyft Line,301,301,2.19,592,Carpool Service
307,Lyft Line,806,806,2.41,607,Carpool Service
313,Lyft Line,303,303,1.85,604,Carpool Service
319,Lyft Line,709,709,2.69,604,Carpool Service
325,Lyft Line,719,719,1.61,468,Carpool Service
331,Lyft Line,316,316,2.12,442,Carpool Service
337,Lyft Line,342,342,2.04,649,Carpool Service
343,Lyft Line,732,732,2.8,651,Carpool Service
349,Lyft Line,743,743,2.8,667,Carpool Service
355,Lyft Line,768,768,1.72,530,Carpool Service
361,Lyft Line,1210,1210,4.44,902,Carpool Service
367,Lyft Line,1050,1050,3.27,950,Carpool Service
373,Lyft Line,623,623,2.45,621,Carpool Service
379,Lyft Line,311,311,2.6,512,Carpool Service
385,Lyft Line,888,888,2.69,738,Carpool Service
391,Lyft Line,792,792,2.97,769,Carpool Service
397,Lyft Line,724,724,2.34,448,Carpool Service
403,Lyft Line,848,848,2.54,675,Carpool Service
409,Lyft Line,761,761,1.82,472,Carpool Service
415,Lyft Line,846,846,2.24,538,Carpool Service
421,Lyft Line,771,771,1.73,470,Carpool Service
427,Lyft Line,1160,1160,2.49,727,Carpool Service
433,Lyft Line,1060,1060,2.26,623,Carpool Service
439,Lyft Line,1210,1210,3.31,877,Carpool Service
445,Lyft Line,1120,1120,2.23,726,Carpool Service
451,Lyft Line,854,854,1.91,402,Carpool Service
457,Lyft Line,1160,1160,2.76,620,Carpool Service
463,Lyft Line,1170,1170,2.81,649,Carpool Service
469,Lyft Line,1090,1090,2.85,724,Carpool Service
475,Lyft Line,1180,1180,2.4,791,Carpool Service
481,Lyft Line,323,323,1.56,514,Carpool Service
487,Lyft Line,1290,1290,3.34,675,Carpool Service
493,Lyft Line,1250,1250,2.03,571,Carpool Service
499,Lyft Line,337,337,1.69,418,Carpool Service
505,Lyft Line,840,840,1.84,604,Carpool Service
511,Lyft Line,868,868,2.11,539,Carpool Service
517,Lyft Line,992,992,2.34,443,Carpool Service
523,Lyft Line,303,303,1.59,372,Carpool Service
529,Lyft Line,1140,1140,2.45,688,Carpool Service
535,Lyft Line,1230,1230,3.39,556,Carpool Service
541,Lyft Line,1330,1330,3.47,749,Carpool Service
547,Lyft Line,1060,1060,2.83,689,Carpool Service
553,Lyft Line,1160,1160,2.48,676,Carpool Service
559,Lyft Line,816,816,1.94,504,Carpool Service
565,Lyft Line,813,813,2.7,608,Carpool Service
571,Lyft Line,944,944,2.1,468,Carpool Service
577,Lyft Line,892,892,1.71,532,Carpool Service
583,Lyft Line,772,772,1.44,422,Carpool Service
589,Lyft Line,866,866,2.8,632,Carpool Service
595,Lyft Line,1230,1230,2.95,692,Carpool Service
601,Lyft Line,1090,1090,2.4,591,Carpool Service
607,Lyft Line,1340,1340,2.39,581,Carpool Service
613,Lyft Line,1010,1010,2.22,530,Carpool Service
619,Lyft Line,1210,1210,3.78,658,Carpool Service
625,Lyft Line,948,948,1.73,613,Carpool Service
