Date,Open,High,Low,Close,Volume,Adj Close,ORCL Return,SP Adj Close,SP Return
1/3/00,31.15625,31.296875,27.90625,29.53125,98114800,26.586586,,1455.219971,
1/4/00,28.875,29.65625,26.25,26.921875,116824800,24.237402,-0.09,1399.420044,-0.04
1/5/00,25.40625,26.59375,24,25.5,166054000,22.95731,-0.05,1402.109985,0.00
1/6/00,25.039049,26.25,23.671875,24,109880000,21.606882,-0.06,1403.449951,0.00
1/7/00,23.75,25.875,23.390625,25.84375,91755600,23.266783,0.08,1441.469971,0.03
1/10/00,27,29,26.375,28.9375,91518000,26.052048,0.12,1457.599976,0.01
1/11/00,28.15625,28.6875,27.375,28.09375,86585200,25.292421,-0.03,1438.560059,-0.01
1/12/00,28.0625,28.0625,25.921875,26.40625,83443600,23.773191,-0.06,1432.25,0.00
1/13/00,27.125,27.46875,25.875,26.265625,55779200,23.646591,-0.01,1449.680054,0.01
1/14/00,27.25,27.84375,26.1875,26.703125,57078000,24.040461,0.02,1465.150024,0.01
1/18/00,26.96875,28.625,26.40625,27.8125,66780000,25.039217,0.04,1455.140015,-0.01
1/19/00,28.0625,29.125,27,28.5625,49198400,25.714432,0.03,1455.900024,0.00
1/20/00,29.5,30.125,29.0625,29.625,54526800,26.67099,0.04,1445.569946,-0.01
1/21/00,30.75,30.75,29.5,29.84375,50891000,26.867928,0.01,1441.359985,0.00
1/24/00,30.125,30.1875,27,27.09375,50022400,24.392141,-0.09,1401.530029,-0.03
1/25/00,27.53125,28.75,27.4375,28.21875,53059200,25.404964,0.04,1410.030029,0.01
1/26/00,28.375,29.46875,27.5,27.53125,47569200,24.786016,-0.02,1404.089966,0.00
1/27/00,27.90625,28.34375,25,25.90625,61054000,23.323046,-0.06,1398.560059,0.00
1/28/00,25.75,25.96875,23.3125,23.6875,86394000,21.325533,-0.09,1360.160034,-0.03
1/31/00,23.96875,25.0625,23.53125,24.976549,68148000,22.486052,0.05,1394.459961,0.03
2/1/00,25.625,27.15625,25,27,57105600,24.307739,0.08,1409.280029,0.01
2/2/00,27.46875,28,27,27.15625,63933000,24.448404,0.01,1409.119995,0.00
2/3/00,27.6875,28.5,27.125,28.34375,55533200,25.517498,0.04,1424.969971,0.01
2/4/00,28.8125,29.125,28.40625,28.90625,40916000,26.023911,0.02,1424.369995,0.00
2/7/00,29.65625,30,29.4375,29.96875,44691200,26.980463,0.04,1424.23999,0.00
2/8/00,30.375,30.71875,29.5,29.78125,55718000,26.811661,-0.01,1441.719971,0.01
2/9/00,30.03125,30.65625,29.40625,29.96875,52471600,26.980463,0.01,1411.709961,-0.02
2/10/00,30,31.3125,29,31.15625,45288600,28.049557,0.04,1416.829956,0.00
2/11/00,31.25,32.375,29.375,29.84375,55774000,26.867928,-0.04,1387.119995,-0.02
2/14/00,30.4375,31.125,29.3125,31.09375,37599800,27.99328,0.04,1389.939941,0.00
2/15/00,30.8125,31.59375,29.5625,30.6875,47971400,27.627544,-0.01,1402.050049,0.01
2/16/00,30.5,31.28125,30.0625,30.625,33489200,27.57128,0.00,1387.670044,-0.01
2/17/00,30.875,31.375,30,30.8125,40392600,27.740082,0.01,1388.26001,0.00
2/18/00,30.84375,31,29.1875,29.28125,63888400,26.361517,-0.05,1346.089966,-0.03
2/22/00,29.5625,30.71875,28.15625,29.65625,75546200,26.699129,0.01,1352.170044,0.00
2/23/00,30.09375,31.632799,29.8125,31.53125,69664400,28.387157,0.06,1360.689941,0.01
2/24/00,31.59375,32.53125,30.125,30.96875,70963200,27.880751,-0.02,1353.430054,-0.01
2/25/00,30.9375,35.5,30.9375,35.3125,103186600,31.791378,0.14,1333.359985,-0.01
2/28/00,35.625,38.25,34.125,34.3125,122316600,30.891092,-0.03,1348.050049,0.01
2/29/00,36.6875,37.21875,35.5625,37.125,55586400,33.423138,0.08,1366.420044,0.01
3/1/00,36.875,37.25,35.375,35.75,44934400,32.185242,-0.04,1379.189941,0.01
3/2/00,36.75,36.78125,33.9375,34.25,52311000,30.834824,-0.04,1381.76001,0.00
3/3/00,35.5625,37.5625,35.085899,37.5,47974400,33.760746,0.09,1409.170044,0.02
3/6/00,37.40625,38.46875,36.1875,37.875,45520600,34.098358,0.01,1391.280029,-0.01
3/7/00,38.3125,40,37.1875,37.46875,53982200,33.732613,-0.01,1355.619995,-0.03
3/8/00,38.6875,41.78125,37.5,41.5625,62781200,37.418156,0.11,1366.699951,0.01
3/9/00,42.15625,42.5,40.0625,42,56476400,37.812038,0.01,1401.689941,0.03
3/10/00,42,42.03125,40.125,40.8125,44699800,36.742954,-0.03,1395.069946,0.00
3/13/00,39.25,41.8125,38.398399,39.375,65803200,35.448784,-0.04,1383.619995,-0.01
3/14/00,40.9375,41.875,38.25,38.5,72364000,34.661026,-0.02,1359.150024,-0.02
3/15/00,42,42.5,38.5,39.3125,144810400,35.392513,0.02,1392.140015,0.02
3/16/00,40.34375,41.28125,38.34375,40.96875,95532400,36.883617,0.04,1458.469971,0.05
3/17/00,40.875,41,39.75,39.90625,66055200,35.927052,-0.03,1464.469971,0.00
3/20/00,40.25,40.3125,38.78125,39.0625,47183600,35.167442,-0.02,1456.630005,-0.01
3/21/00,38.9375,40.4375,38,40.34375,52621400,36.32093,0.03,1493.869995,0.03
3/22/00,40.5,42.1875,39.4375,42.03125,53197600,37.840164,0.04,1500.640015,0.00
3/23/00,41.5625,44,41.28125,43.4375,50803800,39.106197,0.03,1527.349976,0.02
3/24/00,43.40625,44.84375,43.21875,43.5,52821600,39.162476,0.00,1527.459961,0.00
3/27/00,44.53125,44.65625,43.46875,44.21875,32597200,39.809544,0.02,1523.859985,0.00
3/28/00,43.8125,45,42.75,43.28125,36039200,38.965523,-0.02,1507.72998,-0.01
3/29/00,43.03125,43.0625,41.03125,41.25,51966200,37.136826,-0.05,1508.52002,0.00
3/30/00,39.25,42.25,39,39.21875,70986000,35.308113,-0.05,1487.920044,-0.01
3/31/00,40.09375,40.78125,38,39.03125,79842000,35.139301,0.00,1498.579956,0.01
4/3/00,39.3125,40.3125,37.5,38.4375,71598000,34.604763,-0.02,1505.969971,0.00
4/4/00,39.0625,39.0625,32.539051,37.96875,123633800,34.182766,-0.01,1494.72998,-0.01
4/5/00,36.625,40.5,36.273399,39.125,73736800,35.223709,0.03,1487.369995,0.00
4/6/00,40.3125,41.71875,40.0625,41.09375,62408200,36.996151,0.05,1501.339966,0.01
4/7/00,41.84375,43.625,41.5,43.5625,46764600,39.218731,0.06,1516.349976,0.01
4/10/00,43.75,43.8125,41.125,41.25,56241200,37.136826,-0.05,1504.459961,-0.01
4/11/00,40.09375,40.8125,38.40625,38.6875,70983800,34.829838,-0.06,1500.589966,0.00
4/12/00,38.96875,40,36.46875,36.5625,67133000,32.916725,-0.05,1467.170044,-0.02
4/13/00,37.4375,38.75,35.875,35.96875,63206800,32.382187,-0.02,1440.51001,-0.02
4/14/00,34.960899,35.640598,30.125,31.25,109951400,28.133957,-0.13,1356.560059,-0.06
4/17/00,30.25,37.4375,30.085899,37.40625,115304800,33.676342,0.20,1401.439941,0.03
4/18/00,37.78125,39.53125,36.875,39.46875,78738800,35.533192,0.06,1441.609985,0.03
4/19/00,39.3125,39.78125,37.125,37.28125,46184200,33.563801,-0.06,1427.469971,-0.01
4/20/00,36.90625,37.75,34.9375,35.40625,50397800,31.875774,-0.05,1434.540039,0.01
4/24/00,33.6875,36.34375,33.5,36.21875,59725600,32.60725,0.02,1429.859985,0.00
4/25/00,37.4375,38.1875,36.3125,37.78125,61764200,34.013943,0.04,1477.439941,0.03
4/26/00,38.0625,38.90625,35.53125,36.09375,47788800,32.494717,-0.04,1460.98999,-0.01
4/27/00,35.03125,38.78125,34.96875,38.65625,52101000,34.801701,0.07,1464.920044,0.00
4/28/00,39.25,40,39.0625,39.96875,41696600,35.98333,0.03,1452.430054,-0.01
5/1/00,39.9375,40.9375,39.375,39.84375,37093400,35.870792,0.00,1468.25,0.01
5/2/00,39.46875,39.75,38.6875,38.90625,35341000,35.026783,-0.02,1446.290039,-0.02
5/3/00,38.4375,38.5625,36.0625,37.90625,49603200,34.126492,-0.03,1415.099976,-0.02
5/4/00,37.65625,38.46875,36.5,37.125,39899800,33.423138,-0.02,1409.569946,0.00
5/5/00,37,38.5,36.875,38.40625,35289600,34.576633,0.03,1432.630005,0.02
5/8/00,37.65625,38,36.03125,36.15625,36528400,32.550995,-0.06,1424.170044,-0.01
5/9/00,36.84375,37.125,35.625,36,43535200,32.410313,0.00,1412.140015,-0.01
5/10/00,35.46875,36.5625,33.75,33.8125,71169800,30.440945,-0.06,1383.050049,-0.02
5/11/00,34.46875,36.1875,34,36.1875,46590200,32.579132,0.07,1407.810059,0.02
5/12/00,36.65625,38.21875,36.53125,37.09375,39038200,33.395008,0.03,1420.959961,0.01
